,category,text,postid,pred_category,pred_category_text
1062,0,"Bilingual Spanish customer service (Chicago) CESAR MERLOS    OBJECTIVE  A Bilingual Business Administration Professional seeks a position within this organization that will allow the application of acquired marketing and sales experience and educational training.  EDUCATION  Bachelor Degree -- Business Management (Marketing & Sales), Westwood College, Chicago, IL, 07/09 Incorporate consumer behavior principles into marketing and sales practices  Demonstrate knowledge of human resources, Internet marketing sales, and market research  Follow customer service guidelines and apply to conflict management standards Integrate information technology and its application to marketing and sales functions  Apply the marketing 4 Ps--Product, Price, Place and Promotion--to marketing practices  Manipulate marketing information through software applications (Excel, Access, PowerPoint) and statistical analysis   QUALIFICATIONS  Bilingual English and Spanish  Highly reliable, self starter who is organized, disciplined, and goal-oriented Excellent supportive communication. Exceptional organizational, administrative, and time management skills Resourceful & committed as well as versatile & adaptable.  PROFESSIONAL EXPERIENCE  Real Estate Broker, Century21 Affiliated, Chicago, IL, 07/16-12/20  Helping clients sell or lease properties  Prepared, negotiated and drafted contracts for clients and maintained confidentiality to suit the best interest of the client.  Maintained knowledge of the local Real Estate Market  Provided consultation for potential real estate buyers.",7406110131,12,sales
1067,0,"LOOK FOR A SIDE JOB TO BRING IN $400/WK (Chicago Ridge) Good morning,   I am currently looking for a part time job, mainly nights or weekends to bring in at least $400 or more per week.   Please contact me if you are looking for a employee for Thursday, Friday nights, and Saturday/Sundays.   I have plenty of customer service experience and experience in a range of different things. I can provide resume upon further contact.   Thank you.",7404669939,6,skilled trades/artisan
1069,0,"European Caregiver available - in home elderly senior care (Chicago / Elmwood Park/ Harwood Hts / Park Ridge) Caring, kind, gentle, honest, reliable, female caregiver available for full time, long term employment. Dont smokes or drinks, and never late for work. Have own transportation, and lives in the Chicago/O\'Hare area, but is willing to travel into the city and north suburban area. Would assist in daily bathing, toileting when necessary, preparing simple meals, keeping the apartment tidy, some laundry.  $28.00 per hour,   AGAIN - A DIRECT HIRE.  Please feel free to respond with your name, PHONE NUMBER, email address, area in which you live, and a brief description of your needs. I will respond promptly either via phone or email.  Have DL, Car, Reference.",7400043591,1,general labor
1100,0,"CDL Class A Yard Spotter FT / PT (Looking S & SE of Chicago) Tom Hynes  CDL Class A Yard Spotter FT / PT And / Or Driving your straight van from dock doors moving loads at your facility   Cell  show contact info     PLEASE NO TEXTING  Looking S & SE of Chicago Approximately 20-mile vicinity 60411 exclusively in Illinois   Availability  Days 7 days a week 7 am 5 pm  Full Time / Part Time                                                Dear Human Resources  CDL Class A Yard Spotter    NPST* Endorsement     Automatic transmission During my career, I had the opportunity to work in Shipping & Receiving.  This position required driving a Spotter moving boxed trailers, tankers and flat beds from loading docks for loading and unloading.  I have experience in unloading rail cars to bulk trailer using hoses, fittings, hot hose, pumps, gauges, pressuring both rail road cars and bulk trailer in loading or unloading, weighing at scales, doing paperwork, checking and putting on seals, opening and closing valves. Driving straight box & flatbed trucks req C license. Open to driving on street moving trailers to different yards and buying fuel. Attached photo show what I\xe2\x80\x99m comfortable driving.  Using computer in cab receiving trailer numbers to move to or from dock or yard.  Using 2- way radio verbal communication with dispatch  Driving straight box & flatbed trucks req C license  Please contact me to set an interview time in order for us to discuss in greater depth how we can be of mutual benefit to each other.  I am looking forward to talking with you.     Sincerely,  Tom Hynes      SUMMARY  Yard Spotter  Drivers License CDL Class A   NPST Passenger class B Endorsement  Forklift experience   Professional Career Summary  AA in Business Management.  Demonstrated skills in procurements and control in excess of one million dollars of inventory, customer service, office administration, training, shipping and receiving.  Strong organizational skills and ability to multi-task and perform projects efficiently.  Self-starter who communicates well with management, staff, suppliers and vendors.  Computer skills include AS 400, SAP for A/R and A/P, Lotus notes and MS Office: Word, Power Point, Outlook and Excel, Internet and e-mail.    PROFESSIONAL WORK EXPERIENCE   Nalco Chemical Company.  Bedford Park, IL     Spotter                                     1985-2001 Real Estate Licensed Sale Associate                                                              2002 \xe2\x80\x93 Present Nu Way (Part Time weekends)\tSpotter\t\t\t\t\t     2011- 2015 Pods (Parts Inventory) \t\t\t\t\t\t                2015 - 2017 Aryzta (Parts Inventory)                                                                                     2020 - 2021    EDUCATION  AA Degree, Business Management\t\t\t  Moraine Valley Community College\t  Palos Hills, IL           2001",7406571209,3,transportation
1130,0,"very hard wrking man looking for work Hello there im a 40 year old gentleman who needs a job . I am willing to do almost anything to stay afloat . I need the job to be under the table and also i currently  have a broken leg .  I dont think i can climb A LATTER  but i do know i can do cleaning , painting walk a small dog  I can do data entry  i would imagine theres a list of stuff i can accomplish with out having to really put pressure on my leg,  I have e a lap top  and internet access so if any one can help please let me know im ready and willing to try and make some  money thank you",7386680413,1,general labor
1134,0,"Social Media Marketer (Chicago) Hi! My name is Alexyss Rubjerg and I am a social media marketer!   I graduated with a business degree which really jump-started my drive. However, my childhood dream was always to own multiple businesses so I guess I should credit that. I absolutely love working with other entrepreneurs. I figured since I was able to build my dream I should help others build theirs. I devise a strategy through intense research for each and every business I work with. There is not a one size fits all social media strategy and understanding that is key, but I can help you find the one that works for your business.   Creating content and captions is a main part of what I do but engagement is by far the most important part of how I help clients. Engagement helps your followers get a more personal view of you and helps them feel connected, thus bringing back more business regardless of if you are a service provider or sell products. Engagement is also one of the hardest things for business owners to do since it can take up so much time. That is why I am here to help!   If you are struggling with social media for your business, or even if you aren\'t and you just want to outsource it then visit my website and schedule a consultation! During that consult we will go over your difficulties and your goals so that I can craft a strategy unique to you!   alexyssrubjerg.com",7403983445,12,sales
1135,0,"Looking For Photography Work (Chicago) View my work at www.shellyshoots.com.   8 years of portraiture experience and 2 years of real estate photography experience. I studied at The Art Institute of Chicago, have worked with Forever 21 and many Airbnb hosts.   I also sell my prints on my website!   IG @shellyshooots.   Located in Lakeview East. Offering studio portraits and outdoor. $175 per session. Available to hire for headshots, dating profile photos, linkedin photos, weddings and/or events. Text me if you are interested! I have a wide range of different styles! Just let me know what vibe you\'re looking for and I will deliver.  I DO NOT do boudoir shoots.",7405167697,3,transportation
1150,0,LOOKING FOR A FLEXIBLE PART TIME JOB (JOLIET CHANNAHON) Hello.  Is there anyone in Joliet or close to Joliet looking for a helper/assistant?  I am looking for a part-time/flexible hours job. I currently work at a Amazon warehouse and have a very flex schedule there. I just really don\xe2\x80\x99t like the job or working for Amazon.  With my kid going to school and my wife\xe2\x80\x99s changing work schedule it\xe2\x80\x99s hard for me to have a normal full time job.  Do you have a small business and need a helper here and there? I live in Joliet and my kid goes to school in Channahon so something in or around those cities would be best.,7406345380,1,general labor
1187,0,Janitor job (Genoa Illinois) Looking for janitorial job full or part time  in factory school warehouse bank store  got 7 years exp verification on references can start asap can work 20 min from Genoa Illinois yes I have reliable transportation and a driver\'s license,7402988309,1,general labor
1203,0,"I will get in touch with anybody who's doing a movie / film (Chicago) Hi. I\'m 26, I have many hobbies, a bit than more than average looks and more than average leaningness. I have a Polish accent that would make me stand out while making a movie. I will get in touch with anybody working around a movie, this is something I want to do and you won\'t be disappointed. I have an experience running an open mike karaoke.",7405061644,5,food/beverage/hospitality
1207,0,"A/P, A/R, General Accountant (Buffalo Grove) BONNIE A. BORON Buffalo Grove, IL 60089  Cell:  show contact info   Dear Hiring Executive: As an accountant with expertise in A/P, A/R and general accounting experience I am seeking new opportunities.  I am confident that I am a great fit for your organization as my experience includes however is not limited to accurately reconciling, managing inputting, processing and  tracking  \xe2\x80\xa2\tHigh volume A/P, A/R, G/L . bank, and payroll accounts.  \xe2\x80\xa2\tCustomer /client, vendor and stakeholder accounting. \xe2\x80\xa2\tAssistance with monthly, yearly closes, reporting, audit schedules and documentation. \xe2\x80\xa2\tOther Office and accounting functions.             -\tResulting in accurate, compliant accounting, operations, controlling cost, maximizing                  timely revenue collections.     In addition, as a self-motivated, detail--oriented accountant, I have been recognized by     management for my ability to:   \xe2\x80\xa2\tWork independently and in cohesive  teams, in fast-paced environments. \xe2\x80\xa2\t Use Proficiency with multiple accounting software, MS Office (Advanced Excel, Word),           Outlook, payroll, other databases, with proven ability to quickly learn, implement, utilize           new / proprietary software. \xe2\x80\xa2\t  Utilize effective communications to become the go-to person to resolve issues,  provide            customer, service, training. \xe2\x80\xa2\tImplement time management, deficiencies, resulting in beating multiple task deadlines by 3          days ton 1 week. My results-oriented resume is attached for your review.  I would welcome the opportunity to speak with you about your organization and  how I can help manage your accounting and operational needs.  Please feel free to contact me at the above email, phone number.  Thank you in advance for your consideration.  I look forward to speaking with you soon.  Sincerely,  Bonnie Boron                   BONNIE A. BORON Buffalo Grove, IL 60089 Cell:  show contact info   PASSIONATE ACCOUNTANT WITH  A/P, A/R, GENERAL ACCOUNTING EXPERIENCE Hands-on accountant with proven success in managing , processing all areas of accounting.  Recognized by management for resolving discrepancies, implementing time / cash management, efficiencies to control costs, maximize revenue collections, beat tight deadlines, ensure accounting accuracy and compliance,   Use Proficiency with multiple accounting software, MS Office (Advanced Excel, Word) Outlook, payroll other databases. Proven ability to quickly learn, implement utilize new / proprietary software.  Experience in project / program-based, consolidated, intercompany accounting.  Independent and team worker, relationship builder; proactive accountant.  PROFESSIONAL EXPERIENCE  Bison Investments, Ltd., Chicago, IL   Accounting and Office Manager                                                                                            2008 \xe2\x80\x93 2020            Accounting for low-income property company with focus on high volume A/P, A/R, reporting, cash management. -\t Upgraded QuickBooks version, financials to report detailed monthly, year-to date results, trends for multiple entities, consolidated company. - Tracked tenant, CHA, misc. A/R to maximize timely, total  cash receipts / deposits, initiate needed collection actions.  -  Reconciled, maintained government / retail vendor A/P, negotiated credit, processed timely payments; to eliminate late fees, lost discounts.   -  Reduced journal entry processing time by 95% and increased input accuracy by developing memorized journal entries. -   Managed software, Procedures Manual, customer service, office procedures. -   Prepared detailed year-end reports, audit schedules, documentation for outside Tax Accountant.  Alzheimer\xe2\x80\x99s Association, Chicago, IL                                                                                                Donation  Accountant                                                                                                             2007 \xe2\x80\x93 2008 \xe2\x80\xa2\t Prepared monthly financials, detailing intercompany A/P, A/R, revenues for multiple chapters, national office as a management tool. \xe2\x80\xa2\t Completed multi-week process of designing ,inputting 86 charts of accounts in under 1 week; reduced processing time for 400 complex monthly journal entries by over 50%.   Completed reconciliations, audit schedules, documentation. \xe2\x80\xa2\tCommended for using effective communications to resolve issues, provided chapter / internal customer service, coworker training on my time management systems / efficiencies to prioritize tasks to beat tight deadlines by average 3 days to 1 week.                                                                                                                                           Howard Area Community Center, Chicago, IL Nonprofit Accountant                                                                                                             2003 \xe2\x80\x93 2007                                                                                                                                                                                             \xe2\x80\xa2\tManaged multiple grants for social service agency, increasing revenue collections from average 80% to at least 95% of funding. \xe2\x80\xa2\tReconciled, processed high volume A/P, A/R (cash, check credit card, ACH  payments, deposits), payroll.  Controlled costs, saved over$5,000/year in late fees; reduced large reconciliation, analysis to under 1 hour.       -   Ensured accurate cost center / G/L entries, postings, documentation, management approvals, due dates, 3-Way Matching, employee         reimbursements. / 1099\xe2\x80\x99s / W-9\xe2\x80\x99s, deposits, payroll. -   Collaborated with Program Managers to reduce budgeting from 2 months to 2 weeks per program.  Prepared monthly budget variance analysis to control costs, maximize timely A/R collections.  \xe2\x80\xa2\tAssisted with monthly, yearly closes, reporting, reducing process to 1 week.  Compiled audit schedules, documentation. \xe2\x80\xa2\tAs liaison to internal / external clients, resolved issues, implemented efficiencies, beat tight deadlines by average 1 week. \xe2\x80\xa2\t Became valued staff, management resource, pitching-in to assume additional responsibilities.                                                                                                                                                                                                                                                                   EDUCATION AND CONTINUING EDUCATION  Accounting Degree,  Roosevelt University, Chicago, IL Bachelor of Science in Education, Northern Illinois University, DeKalb, IL  General Accounting Seminars \xe2\x80\xa2 MS Office / Accounting Software Classes",7404488331,16,accounting/finance
1211,0,Delivery driver (Northside) Hi my name is Julio Rodriguez and I am a delivery driver please call me at  show contact info  I have a vehicle with up to date insurance and I am ready to start right away and I know how to get around the city of Chicago I work for cash only,7401627595,3,transportation
1212,0,"part time gigs only--Wine - Spirits - Beer--ONLY (Chicago-River Forest area) Certified Sommelier from The Court of Master Sommeliers available for consultation,  wine cellar management, private events, recommendations and short term gigs.  additional Certifications are: Cicerone Level 1 WSET Level 3 with highest honors French Wine Scholar Extensive Beer, Liquor and Craft Spirit knowledge Basic Sake WSET Level4 candidate Basset-Serv-Safe Food Handler 7+ years Bartending experience Stage Manager and House Manager (400 seat venue) experience Wine writer -Wine Pairings-- paid wine taster Presenter at Wine Tastings and Wine dinners",7397132116,5,food/beverage/hospitality
1213,0,accounting/finance ACCOUNTING STAFF Advancing Accounting Expertise to Facilitate Seamless Financial Transactions,7402791326,16,accounting/finance
1219,0,Looking for Cash Jobs (Elgin) I am looking for side jobs that pay cash. I am basically a jack of all trades. I can do temp office jobs or walk your dog. I can only work from 8:30 to 1:30.,7403699983,6,skilled trades/artisan
1223,0,"Pet sitter (Des Plaines) Hi, I\xe2\x80\x99m doing pet sitting as a small job as I just quit my recent job due to personal reasons. I have experience with animals as my old job was actually at a pet store. If you need any house boarding, walking, checks ups, anything please email me as my prices are flexible and you can give me your best offer :) I do dogs and cats",7403981895,1,general labor
1227,0,Dans tuckpointing and services (Chicago) Anyone in the chicago area need any services? Tuckpointing? Scrap removal? Also do heating and air conditioning. We do it all. Feel free to call/text or contact through email,7403058092,1,general labor
1235,0,"CLEANING SERVICE (CHICAGO AND SUBURBS) 25 years of experience, reference upon request. I had been cleaning houses and offices for a very long time. I\'m very Trustworthy and reliable. I love what I do which means I know how get even the most stubborn dirt out of your place !  Thank you so much for giving me an opportunity to clean your home or office or your place of business.   Please call  show contact info",7390314459,1,general labor
1238,0,"windows, Doors And more (little village) My name its Miguel looking for job I do much about construction remodeling I am very honest person  if you have  plans for project don\'t hesitate  please let me know   Windows Doors Cabinets Interior doors Bathrooms Kitchens backsplash New basements  frame. I don\'t licence for now working on that Ceramic floors Laminated floors   please let me know for free estimate also working in my license",7394129231,1,general labor
1254,0,Part Time - Cash neeed (Willowbrook) I\'m a very experienced business leader what insurance and real estate skills looking for a part time job that pays gifthat pays cash so I can.... Eat... And pay some bills during this odd period of time. I\'m very responsible capable and have great driving skills and a perfect driving record I could help any company do anything I\'m ready to go. show contact info,7406473336,6,skilled trades/artisan
1258,0,"Architectural BIM designer CAD drafter AutoCAD 3D renders Reliable, experienced, result-oriented architectural designer provides a wide range of design services for architectural and related projects:  Architectural 3D visualizations - Realistic 3D computer renderings - Realistic 3D animations / walkthroughs - Day and night scenes - Lighting simulations - Interiors / exteriors   BIM projects - Architectural BIM modeling - Background Architectural for MEP - MEP layouts - Coordination models and drawings - CAD to BIM conversion - Clash detection - BIM object families - Site modeling - MEP  Architectural drawings and documentation - Architectural plans - Coordination drawings - Building drawing sets - Construction documentation - Permit drawings - As-Built Drawings - Shop drawings - Red line corrections - Detail drawings - Preliminary drawings - Structural plans - MEP (electrical, plumbing, mechanical, HVAC) layouts - Cabinet / Woodworking details - Site / Subdivision development - Utility mapping  All work is catered specifically to the timeline and requirements of your project.  Applications: - Revit - AutoCAD - ArchiCAD - Trimble Sketchup - 3D Studio Max - Navisworks - Adobe Suite / Photoshop - Others  - Consistent quality and attention to details - Strong organizational, analytical, communication skills - Able to adjust to changing priorities while meeting project deadlines. - Reliable, on-time design work - Strong work ethic - Ability to work in a remote team environment or alone with minimal supervision - Available for outsourced work - Fees anyone can afford - Long or short-term contracts - Portfolio available upon request",7390448110,6,skilled trades/artisan
1263,0,"Im looking for a warehouse/ CS position Hello, Although I have been a Nanny the past few years but want to get back to work for a good company. I do have several years of experience working in a warehouse,shipping/receiving customer service experience with a manufacturing company that was located in Lincolnwood, Ill. I am a team player,I\'m efficient, dependable and can multitask with ease.In the City would be great because I travel via public transportation. Would love to get back in this atmosphere again! Email to post,call or text Thanks Jennie",7399896941,3,transportation
1277,0,Professional Painter available. (Wheaton...Dupage....beyond..) Interior.......Exterior.. ..Commercial..Residential.. . re- paints..  drywall repair... ..New construction.. ... .Epoxy floors.   ..  *..( garage..basements). ... Bathtub and shower tile refinishing. ..    . clean....references..... \xf0\x9f\x87\xba\xf0\x9f\x87\xb8.....  Walt.  ..,7405836906,6,skilled trades/artisan
1299,0,Owner operator of 16ft box truck (Illinois) Owner operators seeking a position to run goods for a busy company. Looking for steady year round work. 2yrs over the road cdl class A driving. Also have 2yr experience in 16ft box truck deliveries. Please call if you have any questions  show contact info  Anthony,7396471021,3,transportation
1308,0,"Jasper Reports Developer available on an as-needed basis. I\'m an independent consultant available to develop Jasper Reports for your business on an as-needed basis. My experience includes 20+ years as a Java Developer along with 12 years of Jasper Reports and Jasper Server. I\'ve developed reports for the auto loan industry, time and attendance reports for various agencies, and generated permits and related documents for an application servicing municipal and county governments nationwide. I will do the work remotely, but open to travel one-time if necessary. Please contact me with your reporting requirements.",7393119649,3,transportation
1311,0,"windows, Doors And more (little village) My name its Miguel looking for job I do much about construction remodeling I am very honest person  if you have  plans for project don\'t hesitate  please let me know   Windows Doors Cabinets Interior doors Bathrooms Kitchens backsplash New basements  frame. I don\'t licence for now working on that Ceramic floors Laminated floors   please let me know for free estimate also working in my license",7394130061,1,general labor
1316,0,"Care giving agency. (Chicago) Experienced dependable loving caregivers/CNA\'s - Bilingual. Available to work for full-time employment ($25-28 per hour)  May accept part time    Potental candidate will provide: * Personal Care * Companionship * Hot Meal Preparation * Housekeeping * Bathroom/Dressing Assistance * Medication Reminders * Grocery Shopping * Temporary or Long Term Care  SERVE  CHICAGO AND SUBURBS  Send e-mail  for more info  or call   (773) 6two5-83six5         available in Addison IL, Algonquin IL, Arlington Heights IL, Aurora IL,  Barrington IL, Barrington Hills IL, Bartlett IL , Bedford Park IL,  Bensenville, Berwyn IL 60402, Bloomingdale IL, Bolingbrook IL,  Bridgeview IL, Broadview IL 60143, Brookfield IL 60513, Buffalo Grove IL 60089, Burbank IL 60459, Burr Ridge IL 60527, Chicago, Carol Stream IL 60116, Carpentersville, Countryside IL 60525, Crest Hill IL 60403, Crestwood IL 60445, Crystal Lake IL, Darien IL,  Deerfield IL 60015,  Des Plaines IL 60016,  Downers Grove IL 60515, Dundee IL 60118,  Elk Grove Village IL 60007,  Elmhurst IL 60126,  Elmwood Park IL , Glen Ellyn IL 60317, Glencoe IL 60022, Glenview IL 60025, Hanover Park IL, Harwood Heights, IL 60706,   Hickory Hills IL 60456 Hillside IL 60162, Hinsdale IL, Hoffman Est IL,  Homer Glen , Itasca IL,  Justice IL 60458, La Grange IL 60525, Lincolnshire IL 60069,  Lincolnwood IL 60645, Lisle IL 60532, Lombard IL 60148,  Lyons IL 60534,  Morton Grove IL 60053, Mount Prospect IL 60056, Schiller Park,",7400039470,3,transportation
1328,0,"Dependable worker (Chicago) I\'m looking for a company,that deserves a hard worker like me..I have my own tools if nessesary,I know how to measure with tape or caliper...I have 10 yrs in machinery,as well as past certifications for forklift,and machine operation....I\'m smart...I\'m a quick learner...I\'m 44yrs old,and I\'m still moving...I\'m a family man...so I need that great job,that\'s gonna benifit me and my family...",7404598270,1,general labor
1338,0,Need a PAINTER? (St Charles) I\xe2\x80\x99m new to the area and am trying to get started here. I\xe2\x80\x99m a residential painter and I LOVE to paint. I\xe2\x80\x99ve co-owned and operated a general construction company in California for nearly 18 years.  I\xe2\x80\x99m available if you need a painter.,7393977616,1,general labor
1358,0,Job wanted (Chicago) I am a 17 year old male looking for some employment I do not want anything offering any work from home jobs,7406851365,5,food/beverage/hospitality
1364,0,"Yard cleaning, moving etc. (Chicago and north suburbs) I\'m looking for job for weekends. I can clean yard, help with moving, painting etc. Also snow shoveling. I will consider any suggestions.",7403966484,1,general labor
1388,0,"Cargo Sprinter / car- emergency driver (Crown Point) You got emergency, your driver is not available ?  - cargo sprinters or individual  driver for your needs.   Only part time",7403232400,3,transportation
1394,0,"Photographer/Videographer looking for a Career Opportunity (Chicago) ENRIQUE LEON  PROFESSIONAL SKILLS    Logo Design Brand Identity Ad Design Illustration Photography  Videography Video Editing Bilingual in Spanish PC and Mac Knowledge Critical Thinking   EDUCATION   Robert Morris University Bachelor\xe2\x80\x99s Degree of Science in Graphic Design   September 2009 \xe2\x80\x93 June 2012 Chicago IL   PROFESSIONAL EXPERIENCE  Orange Line Productions Graphic Designer/Photographer/Videographer January 2012 to Current Chicago, IL    \xe2\x80\xa2\tGraphic Designer; advertisements, business cards, logos, calendar, posters \xe2\x80\xa2\tManually draw illustrations and digitize them into design programs \xe2\x80\xa2\tDesigned yearly calendar under strict deadline \xe2\x80\xa2\tMeeting and discussing clients expectations of each project in a  professional manner in person and video calling \xe2\x80\xa2\tPhotographed events; weddings, baptisms, cotillions, photo shoots and other special occasions  \xe2\x80\xa2\tEditing pictures in Adobe Photoshop \xe2\x80\xa2\tPrepared files in InDesign for print \xe2\x80\xa2\tIn charge of the creative aspects of projects \xe2\x80\xa2\tManaged and helped team to shoot video at each location under Client\xe2\x80\x99s schedule  \xe2\x80\xa2\tShot video footage in a creative and proficiently manner for client \xe2\x80\xa2\tVideo editing; color calibration, cutting and putting final product together in Final Cut Pro X",7403077607,10,admin/office
1400,0,Weekend driver (Northwest Indiana) Looking for a side gig - hotshot driver  I do not have my own truck  Weekends only,7399373247,3,transportation
1401,0,"Bilingual Spanish Customer Service (Chicago) CESAR MERLOS    OBJECTIVE  A Bilingual Business Administration Professional seeks a position within this organization that will allow the application of acquired marketing and sales experience and educational training.  EDUCATION  Bachelor Degree -- Business Management (Marketing & Sales), Westwood College, Chicago, IL, 07/09 Incorporate consumer behavior principles into marketing and sales practices  Demonstrate knowledge of human resources, Internet marketing sales, and market research  Follow customer service guidelines and apply to conflict management standards Integrate information technology and its application to marketing and sales functions  Apply the marketing 4 Ps--Product, Price, Place and Promotion--to marketing practices  Manipulate marketing information through software applications (Excel, Access, PowerPoint) and statistical analysis   QUALIFICATIONS  Bilingual English and Spanish  Highly reliable, self starter who is organized, disciplined, and goal-oriented Excellent supportive communication. Exceptional organizational, administrative, and time management skills Resourceful & committed as well as versatile & adaptable.  PROFESSIONAL EXPERIENCE  Real Estate Broker, Century21 Affiliated, Chicago, IL, 07/16-12/20  Helping clients sell or lease properties  Prepared, negotiated and drafted contracts for clients and maintained confidentiality to suit the best interest of the client.  Maintained knowledge of the local Real Estate Market  Provided consultation for potential real estate buyers.",7405613593,12,sales
1418,0,"Caregiver / CNA (Norridge,  IL) Hi, I\'ve been working in the homecare field many years. I enjoy being able to help others who are in need of help. I\'m reliable and always on time. My goal is to develop a trustworthy relationship between my client and me. I\'m outgoing and often go the extra mile to please my clients in making sure their needs are met. I also have experience in caring for patients with Alzheimer\'s, Hospice. I\'m interested in providing care full time  preferably nights. I\'m currently working part time. I also have good references, if you are interested and you would like to schedule interview please send more information.  I will review and respond. Thanks!",7400042331,5,food/beverage/hospitality
1421,0,"Caregiver /Companion (Chicago, Dunning, Jefferson Park, O'Hare) Are you in need of a reliable compassionate and punctual Care Giver? Do you want hire dependable, honest Care Giver? Look No further!  I have over 20 years experience in home health care, elderly seniors care, Alzheimer\'s and Dementia. I  DO PRIVATE  DUTY  CARE and over night shift.  ACCEPTING NEW CLIENTS NOW!!!  My work and reputation speaks for itself. I can provide references upon interview. Your love one deserves the best care.",7400882835,5,food/beverage/hospitality
1432,0,"Cleaning ,painting,janitor (Chicago) Man without much skill looking job like. Janitorial ,Painting,light plumbing",7394693281,1,general labor
1438,0,Owner operator of 16ft box truck (Illinois) I am in search of a company with consistent work for a 16ft box truck as an owner operator. 2yrs experience with class A OTR tractor trailer. Also have 2+ yrs of 16-26 ft box truck doing deliveries in all of the city of Chicago and surrounding suburbs. If you have any opportunities or any questions please contact me at  show contact info  .  Will be able to start ASAP just waiting on the right opportunity.,7396549814,3,transportation
1454,0,"15 yrs exp trucker looking for work must read I am from New Jersey I was hired by a guy 1099 as a truck driver to pull loads for his company...  Fmcsa law he held back 1 week check in the hole which is against the law..  He also did not pay me for driving from Chicago, down to Dallas tx then to Washington st then back to Chicago...  I worked very hard for him not to pay me.... Can you please help me I don\'t know what to do.... I called police got a report made but no way to sue him...  I want to take his company if you can help me...  I have a family and sick mother tryna see my daughter is the reason I took the job...  I stayed out for 1 month and a half he got in touch with me my 2 second week of job hunting... I left nj cause I had to do something for one guy his equipment wasn\'t good he didn\'t respond (craigslist owner California) then winded up at the flying j in Indianapolis Indiana by the time he got in touch with me to work for him mid September......  I was at his job for 3 weeks he did not pay me..  so it\'s been 2months for me not to pay any bills, we damn near evicted because of this.. that was 3 loads 6000 miles, and 2 weeks of work that he didn\'t pay me for.....that hurt really....not to mention away from home leaving my sick mother for over a month .... She has cancer and is nearly blind y\'all....  I really need your help..  My name is Shamsid-Deen Barnes the company that did this to me is:  4trans exp or syny Morton Grove Chicago area Illinois 7860 Lehigh Ave owner is ovy asdious if that is his real name....  I have 1 direct deposit from them if you need there information...  please help someone..  please let this be the last person this happens to...  my house number is  show contact info   I\'m out of work on street with my mother damn near she is 69 years old and was fighting for my daughter to be in our life... she is in a situation where she need me in her life right now she is in one of those homes in Pennsylvania....and he did this to me...  I\'m crushed and need your help and I know this is illegal I just need the right representation...  Google voice #  show contact info  call me sham  I\'m also looking for work...my cdl still good I have a lot of experience...i haven\'t had a my type of run in a long time...as soon as I go out my lane now this happens...I don\'t go out there cause of this,check this out.... I gotta fight Oregon for a stop for a log book violation which I had 2hours to run left on my keep trucking app eld legally and reason for pull over was failure to stay in lane smdh....im fighting this because of this guy(4 trans or syny).....that\'s over with now my license is clean, the court date was extended...today is oct 27th....stay in touch if you just reading this",7395053420,3,transportation
1471,0,"Driver / Laborer (mt.prospect) Hello I\'m 27 years old I have been self employed for the last year doing Deliveries and other hauling Jobs, I have a Clean drivers license and also have my own transportation to get to and from work. It has been hard lately trying to keep up with keeping the work consistent while also being the one doing the work. I\'m looking for a position where I can just focus on the Job and go home at the end of the day. I can Drive 12ft , 16ft , 26 ft box trucks no problem as I own a 16ft box truck myself. Im fluent in english and spanish I have my own delivery tools and also have 11+ years of driving experience no DUI or felonies. Thank you for your consideration",7402903826,3,transportation
1500,0,"Warehouse Associate (Chicago) To whom it may concern, My name is Rob Powell and I\'m looking for a job that pays more than $18-$21 per hour. I\'m a warehouse/ forklift operator/ dock worker. I\'m looking for a direct hire position with full benefits included. I\'m looking forward to hearing from you and becoming a valuable employee of your company very soon. I\'m looking for a direct hire position with full benefits included.",7405946347,1,general labor
1542,0,"Janitorial/Clean up/outs...???! (Chicago) VERY healthy,dependable senior seeks part time CASH paying employment (explanation) upon request.",7395917380,5,food/beverage/hospitality
1543,0,"labor/Helper -- Cash (Chicago) Demo, moving help, clean ups, light landscaping, warehouse etc.  Handy with tool, able to lift 75 lbs, experienced worker.  Rate hourly or per job.  Please call or text.",7407010127,1,general labor
1563,0,"Caregiver (night shift) (Chicago IL) Female Caregiver, with many years experience available now.   I will provide: - companionship,  - meal preparation.  - Assistant with daily activities.   I am available for full time employment.  References will be provided upon interview.   If you are interested: Please send detail information  Talk to you soon.            Jefferson Park, Dunning, O\'Hare, Norwood Park, Park Ridge IL, Norridge, Elmwood Park, River Grove, Harwood Heights, Des Plaines, Bensenville, Schiller Park, Franklin Park, Melrose Park.",7399856907,5,food/beverage/hospitality
1570,0,"Telemarketer/Appointment Setter (chicagoland) I have over 20 years of Telesales and Marketing expertise. However; I ""don\'t walk on water"". But, I will work your project as hard as any human being can or will. My record is 50 manual calls per hour for 2 hours straight. The downside to that was those possible client\'s name can from the phone book and that project ""crashed and burned"" in the end. I am willing to do a short 2-3 hour test but, I need a project that has a realistic chance to work. I can supply references and currently work doing consumer research and political calls using five9. My price is very affordable.",7393574603,1,general labor
